Search Term,01,02,03,04,05,06,07,08,09,10,11,12,方差,均值
shoe rack,84.129,119.5714,98.2333,142.0,112.6774,218.5,83.6786,55.5161,67.6,104.6333,132.2308,0,0.054,101.5642
lightning cable,76.3226,47.6786,45.5667,52.3333,35.7742,54.1333,50.3214,53.8065,54.0,72.1667,105.6538,0,0.0513,53.9798
summer dress,4758.1935,548.6071,270.3333,263.7667,115.9032,92.7333,155.9286,692.3548,5375.1333,12939.4667,13623.5385,0,0.1256,3236.3299
portable charger,37.5806,25.7143,19.9333,27.9,21.7097,31.7,27.2143,27.4839,24.5667,36.9667,43.7692,0,0.0579,27.0449
dresser,112.2581,124.4286,84.4333,113.7333,129.3871,136.3,67.4643,69.5161,110.4,143.3667,170.7308,0,0.0629,105.1682
horror movies,146.5161,79.6429,76.4333,70.8667,53.7419,75.5333,34.2857,52.4194,49.4667,42.3,138.3077,0,0.0722,68.2928
pop its,2340.9355,1753.8214,854.5,273.2333,42.8387,50.8667,41.3214,83.4194,59.0667,116.5333,146.2692,0,0.101,480.2338
dress,118.9677,208.5,168.5667,124.0333,69.2903,76.9667,1335.8929,144.3548,107.2333,204.1667,250.0,0,0.0643,233.9977
toys,207.5484,176.0,149.1667,115.3,121.0,111.6667,415.75,554.5161,93.4333,437.3333,35.7692,0,0.0898,201.457
apple watch,37.6452,43.5,33.0333,33.3333,32.6129,30.3,48.7857,44.0645,36.0,33.9,20.6538,0,0.0617,32.8191
bathroom decor,91.0645,113.5357,69.7333,85.8,152.4516,112.9333,60.2143,74.8065,102.6333,179.0667,613.6154,0,0.0596,137.9879
usb c hub,90.0323,59.1786,46.9667,77.7333,50.1935,43.7667,39.3214,51.1935,65.3667,98.5,112.5769,0,0.0665,61.2358
candy,98.2258,49.1071,73.4,85.5667,77.1613,107.4667,452.0,169.3226,74.4667,302.5333,337.5769,0,0.0849,152.2356
fan,792.8065,679.25,371.3333,217.4,188.2258,34.8667,149.4643,270.9355,253.9667,666.0,1006.7308,0,0.0939,385.915
tv,66.7097,81.5714,76.8667,93.4667,97.3548,54.2667,114.8571,112.7097,73.2333,98.0,59.3462,0,0.0678,77.3652
backpack,306.7742,272.9643,206.1667,190.5667,199.2258,218.7667,85.1786,48.0,293.2333,482.6,240.6923,0,0.0651,212.014
maternity dress,334.9355,170.2143,71.6,352.0667,482.9677,356.5,85.4643,117.0968,81.1,134.9,301.1154,0,0.0897,207.3301
desk chair,64.2581,52.4643,68.7667,98.2,180.9032,140.8667,83.1786,53.5484,90.4667,191.5667,215.3846,0,0.0841,103.3003
simple dimple,433.1935,470.5357,292.0333,190.9667,123.7097,196.4,1129.6071,145.8065,205.8333,512.0333,696.5769,0,0.0693,366.3913
gift cards,1280.0968,1172.5357,1168.8,1057.5,411.2903,32.2333,73.7857,49.129,58.0333,82.8667,43.5385,0,0.1643,452.4841
protein powder,195.9677,179.4643,188.6667,152.8667,100.7419,88.1,91.0357,96.3548,111.9333,145.7667,215.8462,0,0.0731,130.562
iphone charger,99.7097,36.3929,47.1333,42.9333,120.4194,162.9667,73.25,125.0,73.5333,99.0667,89.6538,0,0.0697,80.8383
fidgets,400.5161,281.2143,127.1667,24.7333,63.1935,55.3,53.4286,18.9355,33.1,81.7,116.2692,0,0.0813,104.6298
movies,227.4194,95.6071,485.4333,184.0,98.1613,102.6667,52.5714,87.7097,100.6667,155.8,210.5385,0,0.06,150.0478
gaming pc,73.9032,71.3929,52.8,65.9,80.2581,78.6667,79.0357,123.6774,158.6667,151.6,105.4231,0,0.0688,86.777
spongebob squarepants,291.5161,153.3929,96.8333,128.4667,128.0645,134.9667,74.5714,155.0,185.0667,470.2667,92.9231,0,0.0596,159.2557
iphone 8 case,588.8065,605.3214,451.0,539.5333,642.3226,1362.8,315.8929,750.7419,813.9333,821.3,957.4231,0,0.0566,654.0896
tv stand,72.5484,81.5714,67.5,73.3,68.6774,62.6,88.4286,67.3226,75.0,91.0667,89.2692,0,0.0633,69.7737
monitor,86.5161,111.2143,101.8,163.0333,98.4516,98.1333,129.2143,176.2258,105.4667,280.2667,120.2692,0,0.0507,122.5493
baby essentials,10158.3548,9455.3571,9532.9,10366.1667,6202.129,345.8667,84.4643,160.5161,1040.8,2132.2667,1897.9231,0,0.1697,4281.3954
fidget,905.1613,561.6429,337.0667,121.8,75.3871,106.6,83.7143,227.1935,270.7,447.7333,522.3462,0,0.0783,304.9454
lunch box,1066.2581,1147.25,821.8667,803.0,1015.3548,503.3333,162.6786,32.4839,125.6667,342.7667,556.3077,0,0.1218,548.0805
dog toys,117.7419,106.7143,104.0667,109.4333,142.3871,166.9667,85.7857,107.6774,111.9667,146.7333,70.1923,0,0.0592,105.8054
gel nail polish,107.5484,121.6429,133.4,168.1667,184.5484,177.3,121.7143,157.2258,179.3333,175.3333,206.3077,0,0.0642,144.3767
ps4 controller,84.4194,87.9286,60.3667,88.1667,263.6774,254.2333,68.6786,119.0968,107.0667,198.1333,135.8462,0,0.0827,122.3011
coffee table,121.0323,148.3571,104.0,104.6,157.6129,149.6,180.3571,72.6129,98.7,143.0,138.7692,0,0.0645,118.2201
iphone 11 screen protector,992.6129,1808.0714,609.7333,1311.9,1265.5484,1644.1333,717.5714,1075.7742,503.0,699.0,983.0385,0,0.0713,967.532
earrings,342.3871,201.1429,195.3333,243.2667,210.8387,140.1667,91.5714,125.0968,204.9,250.9333,262.5,0,0.0628,189.0114
pokemon,201.3548,114.0357,109.2667,140.9,130.7419,102.3,74.9286,108.1613,129.5333,106.2667,70.8462,0,0.0514,107.3613
white dress women,0.0,0.0,0.0,0.0,0.0,0.0,110.8333,268.2258,614.4333,756.1,2170.3462,0,0.079,326.6616
alexa,63.9677,67.1786,88.2333,96.9,101.8065,88.5667,1072.5357,109.6452,129.3667,145.0,174.0769,0,0.0647,178.1064
making the cut store,60229.5806,82435.6786,103459.6667,114347.7667,77958.1613,30608.8,3972.1786,569.6452,4271.4333,10284.8333,18448.1538,0,0.1295,42215.4915
n95 mask,50.3226,83.6429,244.2333,406.4333,489.3548,892.2333,349.4643,19.3548,108.1667,475.8667,912.5769,0,0.111,335.9708
maxi dresses for women summer,87502.9355,0.0,202797.9,39596.5,819.2903,38596.3667,36801.9643,149514.9677,215157.2,150224.9333,151745.8462,0,0.1288,89396.492
paper towels,96.7097,128.6429,159.2667,161.9667,241.129,486.9,117.6071,103.9677,91.8,105.1667,218.9231,0,0.0563,159.34
womens tops,91.4516,94.1786,16.6333,16.9333,63.9677,228.1333,101.0357,44.8387,19.3333,88.0,121.8077,0,0.0699,73.8594
toilet paper,125.3871,118.4286,157.7667,149.8,157.7742,242.7667,127.4286,88.4516,82.8667,52.9333,147.1923,0,0.0578,120.8996
backpacks for girls,49021.0968,57798.5357,33723.8333,39447.7333,42870.871,18924.0333,750.1429,89.1613,4899.8333,12078.6,9192.8462,0,0.1214,22399.7239
comedy movies,235.3871,174.8214,311.0667,245.7,158.9677,197.1,62.3929,101.871,137.3333,350.4333,810.1923,0,0.0601,232.1055
dog bed,67.871,73.7143,87.7333,96.7333,92.871,182.0,144.8929,112.9355,99.6,102.7333,104.7308,0,0.0523,97.1513
harry potter,95.3548,77.1429,112.3333,108.5333,105.5806,115.0667,74.5357,98.7097,109.7,108.7,104.1923,0,0.0704,92.4874
amazon ptime,107480.4194,86612.4286,242623.8,47570.9667,991.1935,67.7333,56.2143,65.6129,93.6333,1935.1,2096.0,0,0.0852,40799.4252
iphone 11,155.2581,105.6071,113.2667,141.6667,149.2581,216.4333,93.4643,188.0645,177.1667,208.1333,177.9231,0,0.0701,143.8535
snacks,213.1935,155.1786,178.8667,204.7,173.9677,152.8333,138.2143,106.6452,122.7667,158.5667,399.7308,0,0.0483,167.0553
whole foods,293.2581,168.3929,294.7333,243.7,202.0645,176.3667,73.6786,71.2581,92.0333,154.5,335.2308,0,0.0878,175.4347
bluetooth speakers,5165.5484,6691.1429,5161.2,4924.1333,2906.5161,2827.1,79.5714,108.8065,124.4667,154.9,108.5385,0,0.1346,2354.327
home decor,223.8387,134.7857,129.0,138.9667,137.0323,150.1333,117.4286,128.2258,115.2,146.4333,202.5385,0,0.053,135.2986
waist trainer for women,37.8065,49.7143,36.4667,56.0333,81.5806,121.8667,114.0,125.9677,132.0,146.8667,251.6538,0,0.0659,96.163
led lights,23.9677,39.1786,42.0333,54.1333,55.1935,118.1,102.8571,17.6452,34.3667,56.9333,50.3462,0,0.0727,49.5629
gaming chairs,5199.5484,6122.9643,4478.1,4983.2333,5861.5806,1150.3333,117.0714,663.0968,1641.8333,2406.2,1399.8846,0,0.1323,2835.3205
squishmallows,2370.2903,803.3571,1044.0333,1834.8667,1733.8387,361.4,173.3571,1609.9677,2223.5,1078.3333,1318.5,0,0.0991,1212.6204
lingerie,235.4516,85.3929,213.4333,166.6,182.2903,167.7667,128.3214,121.5806,74.9333,213.0667,370.3846,0,0.0589,163.2684
tapestry,38.3871,54.4643,69.9333,86.9,105.6452,291.5667,170.8929,161.0,115.9,192.6,150.1538,0,0.0677,119.7869
laundry basket,1344.4839,1478.4643,1200.4,1283.3333,1028.4839,769.0667,169.7143,136.7419,189.0333,263.2667,362.8077,0,0.1287,685.483
shein,793.4839,698.25,410.2667,395.9,355.5806,363.8667,514.3571,299.8387,341.5,504.6667,968.6154,0,0.0629,470.5271
anime,109.3226,101.4643,77.8667,88.1,89.9355,137.5333,87.0714,141.2258,194.4,259.1667,204.7308,0,0.0648,124.2348
pencil case,1408.6452,1683.6071,1501.1333,1766.0,1858.7419,1591.7,252.9643,22.7097,454.8667,1065.6333,1295.9231,0,0.1301,1075.1604
bathroom organizer,140.6774,195.25,201.1,253.8333,237.7742,206.5667,140.6071,124.9677,176.9,227.6667,313.0,0,0.0582,184.8619
crocs charms,874.7419,1157.2857,617.0,2988.4667,236.8065,422.9667,255.0357,1220.4194,1330.7333,1932.2,1631.4615,0,0.0746,1055.5931
shower caddy,296.4839,330.8214,640.8667,377.3333,461.871,524.1667,126.3214,119.5161,293.1667,435.2,579.6154,0,0.0853,348.7802
playstation 5,21.9032,33.2857,22.0667,70.9667,87.8387,80.1,125.3214,177.8065,126.1333,110.9667,73.4615,0,0.0794,77.4875
barbie,265.3226,207.75,186.9,204.4333,207.7097,194.1667,109.8929,162.0968,141.2667,141.2,82.4615,0,0.0643,158.6
airpods,34.5806,113.9286,38.9,36.8667,102.5806,60.9667,100.9643,66.1613,44.4333,43.4667,21.2692,0,0.0862,55.3432
shower curtain,41.1613,39.1429,34.3333,36.6667,68.8065,43.7667,120.5714,29.5806,34.5,52.7667,70.0,0,0.0544,47.608
keyboard,172.7742,181.75,242.7,374.3667,162.9677,171.3667,525.0714,476.3548,220.2667,257.8667,293.1538,0,0.07,256.5532
documentaries,141.3548,86.3214,124.5667,112.2,101.6774,148.9,94.7857,96.3871,90.6,365.6667,291.4231,0,0.0656,137.8236
sandals for women casual summer,106763.0,34990.1429,12067.1667,3953.8333,1263.7419,64.5667,1919.25,45201.4194,114693.0667,210771.7667,401173.5,0,0.0833,77738.4545
pool,2663.2903,1188.2857,291.1333,132.5,61.7419,13.9333,90.3571,1081.7419,1784.0,3585.9667,6756.7692,0,0.0831,1470.8099
portable ac,33051.0323,24326.5714,12888.5333,6770.8,2760.6774,18.4333,100.6429,656.5161,9379.4333,22003.1,34934.3077,0,0.1296,12240.8373
water bottle,36.8387,37.0714,33.1,27.5667,70.1935,180.2667,177.1071,129.0968,127.3333,221.3333,234.1154,0,0.1137,106.1686
press on nails,281.7742,245.5714,318.7,382.3333,362.5484,353.8,239.2143,216.5161,232.2,245.6,308.3462,0,0.0634,265.5503
nike shoes men,123.871,136.1786,71.5667,85.0333,2788.3548,7132.2667,528.6429,609.7419,153.3,174.3667,147.8846,0,0.0778,995.9339
wedding guest dresses for women,227363.2258,209825.0,49933.9333,13722.8333,22217.6452,30868.2667,7005.8929,87.1613,52.4,178.3333,805.3077,0,0.1186,46838.3333
nike,367.3548,233.4286,220.8,144.7333,168.5484,150.7667,151.3929,165.3548,178.9,210.3333,160.4615,0,0.0473,179.3395
smart watch,121.1935,138.5,93.3667,107.2333,132.0323,110.9667,114.7857,135.6452,150.3667,172.7667,123.1154,0,0.055,116.6643
stand up comedy,383.2581,327.9643,206.5,237.0667,324.9032,524.1,129.3929,238.4839,508.6,969.9333,936.5769,0,0.0863,398.8983
computer desk,68.129,79.4643,71.7333,110.7,154.4194,210.2667,113.6429,87.5161,162.1333,213.2667,202.3462,0,0.0893,122.8015
pens,281.3226,326.0357,348.2667,301.3333,330.7742,376.8,238.5357,118.5161,202.2333,286.6667,378.3077,0,0.0808,265.7327
xbox series x,51.3226,76.6429,69.5,96.6667,137.5806,86.1,114.6071,158.3548,156.9667,122.5333,69.8846,0,0.0779,95.0133
ring light,24.3871,38.7857,77.6,124.1,179.4516,198.9,156.3571,164.4516,227.2333,305.3333,261.9231,0,0.0917,146.5436
iphone 11 pro max case,73.6774,627.6071,196.1667,503.3333,355.2903,885.7667,271.0714,1490.4194,1477.8667,1632.1,2008.7308,0,0.1079,793.5025
shower head,166.6452,164.2857,130.7,132.7667,251.5161,366.1,241.0,154.0968,134.0333,167.4333,286.3077,0,0.0591,182.9071
plus size summer dresses,230770.6452,24349.1786,3229.3,6053.3667,3646.6452,5890.8333,362.25,815.871,67108.3333,197578.8333,231480.9231,0,0.1578,64273.8483
camping accessories,779.2903,478.4286,222.5,190.1,158.8065,96.5667,134.0357,243.8065,397.0,669.1,692.9615,0,0.1021,338.5496
suitcase,2624.0968,1782.0714,703.0333,570.4,387.1935,178.6333,261.8571,666.9355,988.2667,1153.5667,860.1538,0,0.0725,848.0173
makeup,143.871,140.8929,144.5333,153.8333,212.5484,223.8333,171.8571,1414.9355,237.1333,204.2667,130.5769,0,0.0618,264.8568
iphone 12,305.3871,225.2857,253.3667,268.7333,257.2581,218.3333,171.1071,245.2903,235.9667,354.2,347.0769,0,0.0619,240.1671
sunglasses womens,436810.4839,390853.2857,212248.4,203588.8,172186.5806,9733.3667,183.0,478.6129,552.8667,674.1667,918.4231,0,0.1266,119018.9989
water shoes for women,10182.5806,5803.75,1435.4,1179.7333,2559.5161,6569.2667,212.7857,986.871,2943.1667,5126.3,6189.0385,0,0.0879,3599.034
iphone charger cable,713.4516,3072.25,2689.2667,16968.3,10705.129,1867.7,1957.6071,15442.0645,16246.4667,20801.2667,18456.7692,0,0.1375,9076.6893
projector,111.5484,196.1429,174.1667,116.3,196.7742,157.8333,180.9286,165.2903,135.0,225.7333,205.0,0,0.0653,155.3931
nail polish,242.3548,228.1071,219.1333,222.6,241.9677,269.4,202.5357,284.3226,298.1,334.9333,383.1538,0,0.0542,243.884
disney plus,150.7742,92.6786,143.1,175.6667,151.9355,144.3333,101.25,253.1935,348.0667,932.2667,1478.7308,0,0.0786,330.9997
shorts for women,1321.9677,690.0714,168.0667,115.0,800.4839,2062.7333,286.1786,345.129,606.5,1446.0,2492.4615,0,0.0957,861.216
pop socket for phone,253768.9677,211826.6071,55506.6,12320.4,3415.9032,5580.5,2911.5,44463.2903,7813.7667,8824.1333,5029.0769,0,0.1081,50955.0621
patio furniture,569.0323,352.25,80.1333,154.1333,325.1613,204.1667,501.3571,1261.1613,1411.5333,2518.1667,2407.1923,0,0.1133,815.3573
rings,94.6452,100.6429,93.3333,94.8,115.4839,141.7333,140.1071,141.0323,147.4667,196.5667,165.1538,0,0.0577,119.2471
star trek,154.5484,98.3929,138.7333,158.6333,94.7419,137.8667,104.7857,192.6452,151.3333,200.3667,178.0385,0,0.068,134.1738
ice maker,566.4839,516.8929,404.0667,412.2667,577.0968,89.9,100.5714,118.3871,324.5333,513.3667,512.0769,0,0.1232,344.6369
pokemon cards,136.2258,70.25,59.0667,105.2333,91.5161,147.1333,207.0,214.4839,87.8667,64.9667,51.5,0,0.0804,102.9369
bucket hat,1129.129,1006.0714,412.2333,243.1333,210.0968,140.0333,191.4286,373.6452,668.5667,806.6667,1117.6923,0,0.1175,524.8914
air fryer,11.9677,16.1786,31.6667,37.2333,40.7419,43.9333,97.3214,47.0645,50.8667,123.1667,29.6538,0,0.0732,44.1496
masks,39.3871,38.1786,70.1,62.8333,102.5806,223.6667,166.3571,30.2258,33.6,148.3,320.7308,0,0.0808,102.9967
mouse pad,47.8387,54.9286,60.6,77.8,95.7097,194.4333,126.7857,347.5806,68.0,88.5,100.0385,0,0.0611,105.1846
beach bag,5662.7742,2276.8214,549.6667,365.2333,227.4516,123.9667,182.1786,790.2903,2293.5667,3886.5,4566.3077,0,0.1121,1743.7298
action movies,928.3871,431.4643,571.5,504.0667,289.6452,275.8667,116.1786,182.7419,246.1333,508.2,640.1154,0,0.0704,391.1916
bikini,1252.3548,880.2143,308.6667,329.7667,227.1613,113.7,240.5714,709.3548,1380.8,2631.7667,2698.8462,0,0.11,897.7669
cat tree,198.9032,232.8929,189.0,241.8,246.0645,174.1667,129.7143,188.1613,204.6,225.2,232.1154,0,0.0701,188.5515
travel accessories,1134.9677,825.3929,387.3333,440.4,342.4194,245.8333,197.5,441.7742,520.5333,576.4333,541.5,0,0.062,471.1739
bedroom decor,196.3871,211.9286,286.1333,264.7,362.5161,259.8667,174.5,244.4839,267.6667,337.9,472.8462,0,0.0537,256.5774
cat toys,226.8387,235.2857,227.2333,245.1,246.2903,184.3667,143.1786,197.7097,194.0333,218.2333,151.9615,0,0.0709,189.1859
disposable face masks,93.8387,76.9286,101.2667,75.1667,996.0,1810.7333,228.1071,1.7097,19.7,92.7667,235.5385,0,0.0828,310.9797
coffee,157.2903,141.0714,193.9667,161.7,96.6774,137.4333,213.4286,140.7742,90.6,1483.1333,197.0769,0,0.0641,251.096
kitchen organization,133.871,450.0357,345.7333,331.9667,364.9355,227.5333,150.8214,149.9355,204.2333,336.3667,686.2308,0,0.0625,281.8053
kindle,175.8387,130.2143,186.5333,183.9333,164.3871,129.4,169.5,304.871,219.3333,230.0667,163.5769,0,0.051,171.4712
air fryers,7181.3226,8023.7857,8974.9333,9317.7333,10545.3226,7931.1333,1834.3929,10345.7419,12195.8667,11577.4667,6337.8846,0,0.0842,7855.4653
nike shoes women,141.0645,164.3571,88.0,111.9667,172.1935,660.9333,498.3214,295.9677,273.7,324.3667,397.3846,0,0.0748,260.688
halloween decorations,29785.0,23587.1429,14659.1667,9496.2333,5227.3226,2209.5333,273.7143,67.3548,1.2667,11.5667,14167.2308,0,0.1087,8290.461
funko pop,118.7742,96.25,112.5,97.8667,147.7097,184.7,150.9643,135.0,105.2333,98.9333,99.3462,0,0.0538,112.2731
telugu movies 2021,132192.5161,1634.6786,348.6333,172.5667,181.7419,313.8,149.25,216.8065,159.9667,306.7333,376.3077,0,0.076,11337.7501
vibrator dildo for women vibrating machine,0.0,0.0,0.0,0.0,0.0,0.0,876.3333,94130.7419,57679.2333,0.0,0.0,0,0.0964,12723.859
paraguard,230976.8065,237414.9286,227866.6667,255780.6667,124414.2581,20651.6667,4058.8571,12793.6774,24843.7667,40283.8667,60484.0,0,0.1541,103297.4301
storage bins,275.2258,296.0357,217.4667,221.5667,247.4516,233.1333,160.5357,166.4194,227.1333,292.6,379.6538,0,0.0549,226.4352
car accessories for women,279.6774,350.6429,123.0,219.3667,435.7419,362.5333,181.0714,304.9677,465.1667,565.5667,735.9615,0,0.0677,335.308
bread,64.2258,44.8929,129.7,172.6,184.9032,205.8,533.8571,136.5161,131.1333,956.5667,1078.4231,0,0.1021,303.2182
shoes,246.4839,222.1071,122.4667,130.3667,163.3548,215.0,158.6071,142.5484,198.1,523.5333,248.2308,0,0.0508,197.5666
bathroom accessories,254.0968,560.3214,303.6333,248.9,364.9355,330.7,197.5,259.6774,429.4,765.5,1000.0,0,0.0666,392.8887
makeup bag,510.871,529.1429,408.9333,443.9,408.6774,373.4,251.6071,332.0645,478.9667,480.4333,379.8077,0,0.0679,383.1503
makeup organizer,55.0323,97.9643,124.4667,152.6667,173.4516,222.8333,170.4643,191.2258,207.1667,255.2,161.0769,0,0.0733,150.9624
iphone se 2020 case,664.1613,722.5714,1702.7667,1533.0667,825.2258,5463.6333,1325.25,8138.2258,10159.1333,9715.9667,10009.1538,0,0.155,4188.2629
cooler,2727.4516,1902.8929,806.0,463.0,293.6129,136.9,186.7857,435.4516,795.1333,1332.5333,1608.5,0,0.0866,890.6884
apple watch series 6,735.5161,262.8571,246.5333,207.4,194.2903,377.2333,230.0,1547.871,585.6667,847.3333,2075.6154,0,0.0824,609.193
notebook,354.9677,406.0357,558.2667,444.3667,793.7419,421.2667,284.3214,240.9355,322.2,456.7333,564.4231,0,0.0555,403.9382
yoga mat,93.9677,145.0357,176.6333,184.2667,251.9677,303.2,423.0,194.3548,215.5,299.3333,329.1923,0,0.0657,218.0376
dog treats,453.9677,349.25,337.8,239.5667,309.871,307.1667,171.2857,188.7097,177.1,201.9667,251.2308,0,0.0591,248.9929
mattress,383.6774,499.1429,369.1,371.2667,480.0968,426.0,233.75,210.2258,268.9667,519.8,406.0,0,0.0743,347.3355
amz prime,0.0,0.0,0.0,0.0,0.0,0.0,6726.0,2896.8387,2895.5667,2183.1667,84733.1154,0,0.0745,8286.224
ps4,245.5161,193.9643,183.8,235.4,268.7742,201.2667,205.9643,325.4839,317.2,410.7333,237.1923,0,0.0536,235.4413
melatonin,352.6452,303.2143,415.3667,283.9667,309.2903,314.3667,237.5357,207.2581,228.9667,317.3667,655.7692,0,0.0486,302.1455
